,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
7647,Construction,Working,Security staff,,,,,
7648,Business Entity Type 3,Working,Sales staff,,,,,
7649,Industry: type 1,Working,Managers,,,,,
7650,Housing,Working,Accountants,,,,,
7651,Self-employed,Working,Sales staff,,,,,
7652,Medicine,State servant,Core staff,,,,,
7653,XNA,Pensioner,UNKNOWN,,,,,
7654,Self-employed,Commercial associate,Managers,,,,,
7655,Business Entity Type 3,Working,Drivers,,,,,
7656,XNA,Pensioner,UNKNOWN,,,,,
7657,Self-employed,Working,Sales staff,,,,,
7658,XNA,Pensioner,UNKNOWN,,,,,
7659,Transport: type 2,Working,Security staff,,,,,
7660,Transport: type 4,Commercial associate,High skill tech staff,,,,,
7661,XNA,Pensioner,UNKNOWN,,,,,
7662,Medicine,Working,Medicine staff,,,,,
7663,Business Entity Type 3,Working,High skill tech staff,,,,,
7664,Trade: type 3,Working,Laborers,,,,,
7665,XNA,Pensioner,UNKNOWN,,,,,
7666,Business Entity Type 2,Commercial associate,Sales staff,,,,,
7667,Self-employed,Working,Sales staff,,,,,
7668,School,Working,Secretaries,,,,,
7669,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7670,Emergency,Commercial associate,Core staff,,,,,
7671,XNA,Pensioner,UNKNOWN,,,,,
7672,XNA,Pensioner,UNKNOWN,,,,,
7673,Self-employed,Commercial associate,Core staff,,,,,
7674,Self-employed,Working,UNKNOWN,,,,,
7675,XNA,Pensioner,UNKNOWN,,,,,
7676,Medicine,State servant,Medicine staff,,,,,
7677,Government,Working,Laborers,,,,,
7678,XNA,Pensioner,UNKNOWN,,,,,
7679,School,Working,Security staff,,,,,
7680,Business Entity Type 3,Working,Drivers,,,,,
7681,Business Entity Type 3,Working,Sales staff,,,,,
7682,XNA,Pensioner,UNKNOWN,,,,,
7683,Construction,Commercial associate,High skill tech staff,,,,,
7684,Business Entity Type 3,Commercial associate,Accountants,,,,,
7685,XNA,Pensioner,UNKNOWN,,,,,
7686,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7687,XNA,Pensioner,UNKNOWN,,,,,
7688,Security,Working,Security staff,,,,,
7689,Business Entity Type 3,Working,Managers,,,,,
7690,Self-employed,Working,Sales staff,,,,,
7691,Business Entity Type 3,Working,UNKNOWN,,,,,
7692,Self-employed,Working,Private service staff,,,,,
7693,Housing,Commercial associate,Laborers,,,,,
7694,Business Entity Type 3,Working,UNKNOWN,,,,,
7695,Construction,Commercial associate,Drivers,,,,,
7696,Industry: type 9,Commercial associate,High skill tech staff,,,,,
7697,Self-employed,Working,UNKNOWN,,,,,
7698,Medicine,State servant,Managers,,,,,
7699,Business Entity Type 2,Commercial associate,High skill tech staff,,,,,
7700,Business Entity Type 3,Commercial associate,Managers,,,,,
7701,Business Entity Type 3,Commercial associate,Laborers,,,,,
7702,Self-employed,Commercial associate,Accountants,,,,,
7703,Self-employed,Working,Sales staff,,,,,
7704,XNA,Pensioner,UNKNOWN,,,,,
7705,Business Entity Type 3,Working,Laborers,,,,,
7706,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
7707,XNA,Pensioner,UNKNOWN,,,,,
7708,Other,State servant,UNKNOWN,,,,,
7709,XNA,Pensioner,UNKNOWN,,,,,
7710,Self-employed,Working,Sales staff,,,,,
7711,XNA,Pensioner,UNKNOWN,,,,,
7712,XNA,Pensioner,UNKNOWN,,,,,
7713,Business Entity Type 2,Commercial associate,Laborers,,,,,
7714,Advertising,Working,High skill tech staff,,,,,
7715,Industry: type 1,Working,Laborers,,,,,
7716,Kindergarten,Working,UNKNOWN,,,,,
7717,Transport: type 2,Working,UNKNOWN,,,,,
7718,Government,Working,Managers,,,,,
7719,Other,State servant,Medicine staff,,,,,
7720,Business Entity Type 2,Working,Drivers,,,,,
7721,Transport: type 4,Working,Laborers,,,,,
7722,Business Entity Type 3,Working,Laborers,,,,,
7723,Business Entity Type 1,Working,Drivers,,,,,
7724,XNA,Pensioner,UNKNOWN,,,,,
7725,Business Entity Type 3,Commercial associate,Managers,,,,,
7726,Trade: type 3,Commercial associate,Managers,,,,,
7727,Medicine,Working,Managers,,,,,
7728,Government,State servant,Core staff,,,,,
7729,Business Entity Type 3,Working,Drivers,,,,,
7730,XNA,Pensioner,UNKNOWN,,,,,
7731,Other,Working,UNKNOWN,,,,,
7732,Culture,Commercial associate,Core staff,,,,,
7733,Business Entity Type 3,Working,Laborers,,,,,
7734,Industry: type 3,Working,UNKNOWN,,,,,
7735,Business Entity Type 3,Working,High skill tech staff,,,,,
7736,Security,Commercial associate,UNKNOWN,,,,,
7737,Business Entity Type 3,Working,Laborers,,,,,
7738,Business Entity Type 3,Commercial associate,Laborers,,,,,
7739,Medicine,State servant,Medicine staff,,,,,
7740,Other,Working,Core staff,,,,,
7741,XNA,Pensioner,UNKNOWN,,,,,
7742,Medicine,Working,Medicine staff,,,,,
7743,Bank,Working,Core staff,,,,,
7744,Trade: type 3,Commercial associate,Security staff,,,,,
7745,XNA,Pensioner,UNKNOWN,,,,,
7746,XNA,Pensioner,UNKNOWN,,,,,
7747,Postal,Commercial associate,Core staff,,,,,
7748,Other,Working,Medicine staff,,,,,
7749,Medicine,Working,Medicine staff,,,,,
7750,Self-employed,Working,Drivers,,,,,
7751,Construction,Working,Laborers,,,,,
7752,XNA,Pensioner,UNKNOWN,,,,,
7753,Business Entity Type 3,Commercial associate,Laborers,,,,,
7754,XNA,Pensioner,UNKNOWN,,,,,
7755,Business Entity Type 3,Commercial associate,Accountants,,,,,
7756,Government,State servant,UNKNOWN,,,,,
7757,XNA,Pensioner,UNKNOWN,,,,,
7758,Self-employed,Commercial associate,Laborers,,,,,
7759,Construction,Commercial associate,Managers,,,,,
7760,Military,Working,Laborers,,,,,
7761,XNA,Pensioner,UNKNOWN,,,,,
7762,Medicine,Working,UNKNOWN,,,,,
7763,Other,Working,UNKNOWN,,,,,
7764,Self-employed,Commercial associate,Managers,,,,,
7765,Business Entity Type 3,Working,High skill tech staff,,,,,
7766,Business Entity Type 3,Commercial associate,Laborers,,,,,
7767,Other,Working,Laborers,,,,,
7768,Medicine,State servant,Core staff,,,,,
7769,Industry: type 5,Working,UNKNOWN,,,,,
7770,Self-employed,Commercial associate,Managers,,,,,
7771,Medicine,Working,Medicine staff,,,,,
7772,Construction,Commercial associate,Laborers,,,,,
7773,Medicine,Commercial associate,Medicine staff,,,,,
7774,Self-employed,Commercial associate,Sales staff,,,,,
7775,Other,Working,High skill tech staff,,,,,
7776,Business Entity Type 3,Working,Laborers,,,,,
7777,XNA,Pensioner,UNKNOWN,,,,,
7778,Kindergarten,Working,High skill tech staff,,,,,
7779,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7780,Self-employed,Working,Core staff,,,,,
7781,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7782,XNA,Pensioner,UNKNOWN,,,,,
7783,XNA,Pensioner,UNKNOWN,,,,,
7784,Business Entity Type 1,Working,Laborers,,,,,
7785,Trade: type 3,Working,Sales staff,,,,,
7786,Self-employed,Working,Sales staff,,,,,
7787,Construction,Working,Laborers,,,,,
7788,Business Entity Type 3,Commercial associate,Managers,,,,,
7789,Business Entity Type 1,Commercial associate,UNKNOWN,,,,,
7790,XNA,Pensioner,UNKNOWN,,,,,
7791,Other,Working,Waiters/barmen staff,,,,,
7792,Business Entity Type 3,Working,High skill tech staff,,,,,
7793,Self-employed,Commercial associate,UNKNOWN,,,,,
7794,Other,Working,High skill tech staff,,,,,
7795,Self-employed,Working,Managers,,,,,
7796,Security,Working,Security staff,,,,,
7797,Self-employed,Commercial associate,Accountants,,,,,
7798,Self-employed,Working,Laborers,,,,,
7799,Self-employed,Working,UNKNOWN,,,,,
7800,Business Entity Type 3,Working,Sales staff,,,,,
7801,Industry: type 9,Working,High skill tech staff,,,,,
7802,Hotel,Working,Medicine staff,,,,,
7803,Business Entity Type 3,Working,Laborers,,,,,
7804,XNA,Pensioner,UNKNOWN,,,,,
7805,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7806,Culture,Working,Core staff,,,,,
7807,Business Entity Type 3,Working,Laborers,,,,,
7808,Other,Working,UNKNOWN,,,,,
7809,Medicine,Working,Medicine staff,,,,,
7810,Medicine,Working,Laborers,,,,,
7811,Industry: type 3,Working,Laborers,,,,,
7812,Postal,Working,Core staff,,,,,
7813,XNA,Pensioner,UNKNOWN,,,,,
7814,Self-employed,Working,Sales staff,,,,,
7815,Business Entity Type 3,Working,Security staff,,,,,
7816,Construction,Commercial associate,High skill tech staff,,,,,
7817,Medicine,Working,Medicine staff,,,,,
7818,XNA,Pensioner,UNKNOWN,,,,,
7819,XNA,Pensioner,UNKNOWN,,,,,
7820,Business Entity Type 3,Working,UNKNOWN,,,,,
7821,XNA,Pensioner,UNKNOWN,,,,,
7822,Government,Working,Core staff,,,,,
7823,Kindergarten,Working,Core staff,,,,,
7824,Telecom,Working,Laborers,,,,,
7825,Transport: type 4,Working,Laborers,,,,,
7826,Electricity,Working,Laborers,,,,,
7827,Transport: type 4,Commercial associate,Sales staff,,,,,
7828,Business Entity Type 3,Working,Cooking staff,,,,,
7829,Industry: type 7,Working,IT staff,,,,,
7830,XNA,Pensioner,UNKNOWN,,,,,
7831,Business Entity Type 3,Working,Laborers,,,,,
7832,XNA,Pensioner,UNKNOWN,,,,,
7833,Bank,Working,UNKNOWN,,,,,
7834,Business Entity Type 2,Working,Managers,,,,,
7835,Business Entity Type 2,Working,UNKNOWN,,,,,
7836,School,Commercial associate,Core staff,,,,,
7837,Agriculture,Working,UNKNOWN,,,,,
7838,Security,Working,Security staff,,,,,
7839,Industry: type 3,Commercial associate,Laborers,,,,,
7840,Security Ministries,Working,Managers,,,,,
7841,Self-employed,Working,Drivers,,,,,
7842,Business Entity Type 3,Working,Managers,,,,,
7843,Trade: type 7,Working,Sales staff,,,,,
7844,Business Entity Type 3,Working,UNKNOWN,,,,,
7845,Emergency,Working,Managers,,,,,
7846,Self-employed,Working,Cleaning staff,,,,,
7847,Medicine,Working,Core staff,,,,,
7848,Business Entity Type 3,Commercial associate,Drivers,,,,,
7849,Trade: type 3,Commercial associate,Sales staff,,,,,
7850,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
7851,XNA,Pensioner,UNKNOWN,,,,,
7852,Business Entity Type 3,Working,Sales staff,,,,,
7853,Medicine,Working,High skill tech staff,,,,,
7854,Trade: type 2,Commercial associate,Core staff,,,,,
7855,Insurance,Working,Core staff,,,,,
7856,Hotel,Commercial associate,Core staff,,,,,
7857,XNA,Pensioner,UNKNOWN,,,,,
7858,XNA,Pensioner,UNKNOWN,,,,,
7859,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7860,Industry: type 3,Working,Laborers,,,,,
7861,Business Entity Type 3,Working,Managers,,,,,
7862,Security Ministries,Working,UNKNOWN,,,,,
7863,Medicine,Commercial associate,Medicine staff,,,,,
7864,Trade: type 7,Working,Managers,,,,,
7865,Self-employed,Working,Sales staff,,,,,
7866,Postal,Commercial associate,Managers,,,,,
7867,Realtor,Commercial associate,Core staff,,,,,
7868,Medicine,State servant,Medicine staff,,,,,
7869,Kindergarten,Working,Core staff,,,,,
7870,XNA,Pensioner,UNKNOWN,,,,,
7871,Business Entity Type 3,Working,Sales staff,,,,,
7872,School,Working,High skill tech staff,,,,,
7873,Industry: type 7,Working,Laborers,,,,,
7874,Business Entity Type 3,Working,UNKNOWN,,,,,
7875,Other,Working,UNKNOWN,,,,,
7876,Self-employed,Commercial associate,High skill tech staff,,,,,
7877,XNA,Pensioner,UNKNOWN,,,,,
7878,Government,Working,Core staff,,,,,
7879,Business Entity Type 1,Working,High skill tech staff,,,,,
7880,Business Entity Type 3,Working,Managers,,,,,
7881,Transport: type 2,Working,Core staff,,,,,
7882,Business Entity Type 2,Commercial associate,Managers,,,,,
7883,XNA,Pensioner,UNKNOWN,,,,,
7884,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7885,XNA,Pensioner,UNKNOWN,,,,,
7886,Other,Working,UNKNOWN,,,,,
7887,Self-employed,Working,Sales staff,,,,,
7888,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7889,School,Working,UNKNOWN,,,,,
7890,Government,State servant,Core staff,,,,,
7891,School,Commercial associate,High skill tech staff,,,,,
7892,Other,Commercial associate,High skill tech staff,,,,,
7893,Self-employed,Commercial associate,Laborers,,,,,
7894,Business Entity Type 3,Working,Core staff,,,,,
7895,XNA,Pensioner,UNKNOWN,,,,,
7896,Business Entity Type 3,Working,Laborers,,,,,
7897,Transport: type 4,Working,Accountants,,,,,
7898,Business Entity Type 3,Working,High skill tech staff,,,,,
7899,Business Entity Type 3,Working,Laborers,,,,,
7900,Business Entity Type 1,Commercial associate,Managers,,,,,
7901,Security Ministries,Working,Security staff,,,,,
7902,Business Entity Type 3,Commercial associate,Core staff,,,,,
7903,Trade: type 7,Working,Sales staff,,,,,
7904,Medicine,Working,Medicine staff,,,,,
7905,School,Working,Cooking staff,,,,,
7906,Construction,Working,Sales staff,,,,,
7907,Trade: type 3,Working,Drivers,,,,,
7908,XNA,Pensioner,UNKNOWN,,,,,
7909,Government,State servant,High skill tech staff,,,,,
7910,Kindergarten,Working,Cooking staff,,,,,
7911,Trade: type 7,Commercial associate,Sales staff,,,,,
7912,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7913,Self-employed,Working,Sales staff,,,,,
7914,Business Entity Type 2,Working,Sales staff,,,,,
7915,School,Working,UNKNOWN,,,,,
7916,Medicine,State servant,Medicine staff,,,,,
7917,Business Entity Type 2,Commercial associate,UNKNOWN,,,,,
7918,XNA,Pensioner,UNKNOWN,,,,,
7919,Business Entity Type 3,Working,Laborers,,,,,
7920,Other,Working,UNKNOWN,,,,,
7921,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7922,Self-employed,Commercial associate,Sales staff,,,,,
7923,Industry: type 11,Working,Laborers,,,,,
7924,Other,State servant,High skill tech staff,,,,,
7925,XNA,Pensioner,UNKNOWN,,,,,
7926,Military,State servant,UNKNOWN,,,,,
7927,Construction,Working,Laborers,,,,,
7928,Electricity,Working,Laborers,,,,,
7929,Transport: type 2,State servant,UNKNOWN,,,,,
7930,XNA,Pensioner,UNKNOWN,,,,,
7931,Self-employed,Working,Drivers,,,,,
7932,Construction,Working,Laborers,,,,,
7933,Emergency,Working,Laborers,,,,,
7934,XNA,Pensioner,UNKNOWN,,,,,
7935,Business Entity Type 3,Working,UNKNOWN,,,,,
7936,Industry: type 3,Working,Drivers,,,,,
7937,XNA,Pensioner,UNKNOWN,,,,,
7938,XNA,Pensioner,UNKNOWN,,,,,
7939,XNA,Pensioner,UNKNOWN,,,,,
7940,XNA,Pensioner,UNKNOWN,,,,,
7941,Industry: type 7,Working,UNKNOWN,,,,,
7942,Industry: type 3,Working,UNKNOWN,,,,,
7943,School,Working,Core staff,,,,,
7944,Self-employed,Working,Core staff,,,,,
7945,Security,Commercial associate,Drivers,,,,,
7946,Self-employed,Commercial associate,Sales staff,,,,,
7947,Self-employed,Working,UNKNOWN,,,,,
7948,XNA,Pensioner,UNKNOWN,,,,,
7949,Military,State servant,UNKNOWN,,,,,
7950,Trade: type 7,Working,Cooking staff,,,,,
7951,Bank,Working,Core staff,,,,,
7952,XNA,Pensioner,UNKNOWN,,,,,
7953,XNA,Pensioner,UNKNOWN,,,,,
7954,Construction,Working,Laborers,,,,,
7955,XNA,Pensioner,UNKNOWN,,,,,
7956,Construction,Working,Laborers,,,,,
7957,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7958,XNA,Pensioner,UNKNOWN,,,,,
7959,Business Entity Type 3,Working,Sales staff,,,,,
7960,Self-employed,Working,Sales staff,,,,,
7961,XNA,Pensioner,UNKNOWN,,,,,
7962,University,State servant,Core staff,,,,,
7963,Self-employed,Commercial associate,Laborers,,,,,
7964,Government,State servant,Cleaning staff,,,,,
7965,Business Entity Type 1,Commercial associate,Drivers,,,,,
7966,Transport: type 4,Working,High skill tech staff,,,,,
7967,Medicine,Commercial associate,UNKNOWN,,,,,
7968,XNA,Pensioner,UNKNOWN,,,,,
7969,Kindergarten,State servant,Core staff,,,,,
7970,Medicine,State servant,Medicine staff,,,,,
7971,Government,Commercial associate,Sales staff,,,,,
7972,Business Entity Type 3,Working,Sales staff,,,,,
7973,Other,State servant,Medicine staff,,,,,
7974,Business Entity Type 3,Working,HR staff,,,,,
7975,Trade: type 3,Commercial associate,Sales staff,,,,,
7976,Business Entity Type 3,Working,UNKNOWN,,,,,
7977,XNA,Pensioner,UNKNOWN,,,,,
7978,Construction,Working,Low-skill Laborers,,,,,
7979,School,State servant,Core staff,,,,,
7980,Business Entity Type 3,Working,Sales staff,,,,,
7981,Business Entity Type 3,Commercial associate,Laborers,,,,,
7982,Construction,Working,UNKNOWN,,,,,
7983,Self-employed,Working,Laborers,,,,,
7984,Industry: type 9,Working,Drivers,,,,,
7985,XNA,Pensioner,UNKNOWN,,,,,
7986,Self-employed,Commercial associate,Sales staff,,,,,
7987,Self-employed,Working,UNKNOWN,,,,,
7988,XNA,Pensioner,UNKNOWN,,,,,
7989,Police,Working,UNKNOWN,,,,,
7990,Medicine,Working,Laborers,,,,,
7991,Kindergarten,State servant,Security staff,,,,,
7992,Other,Working,Sales staff,,,,,
7993,Business Entity Type 3,Working,Laborers,,,,,
7994,Trade: type 7,Commercial associate,Managers,,,,,
7995,Security,Working,Security staff,,,,,
7996,Business Entity Type 3,Working,Laborers,,,,,
7997,Trade: type 7,Working,Managers,,,,,
7998,Business Entity Type 1,Working,Sales staff,,,,,
7999,Medicine,Commercial associate,Medicine staff,,,,,
8000,XNA,Pensioner,UNKNOWN,,,,,
8001,Industry: type 11,Commercial associate,UNKNOWN,,,,,
8002,Construction,Working,Laborers,,,,,
8003,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
8004,Business Entity Type 3,Commercial associate,Laborers,,,,,
8005,Self-employed,Working,Drivers,,,,,
8006,XNA,Pensioner,UNKNOWN,,,,,
8007,XNA,Pensioner,UNKNOWN,,,,,
8008,Industry: type 9,Working,High skill tech staff,,,,,
8009,Self-employed,Commercial associate,Sales staff,,,,,
8010,Business Entity Type 3,Commercial associate,Managers,,,,,
8011,XNA,Pensioner,UNKNOWN,,,,,
8012,Self-employed,Working,Managers,,,,,
8013,Business Entity Type 3,Working,Managers,,,,,
8014,Business Entity Type 3,Working,UNKNOWN,,,,,
8015,XNA,Pensioner,UNKNOWN,,,,,
8016,XNA,Pensioner,UNKNOWN,,,,,
8017,Business Entity Type 3,Working,Sales staff,,,,,
8018,Business Entity Type 1,Working,Laborers,,,,,
8019,XNA,Pensioner,UNKNOWN,,,,,
8020,Other,Working,Secretaries,,,,,
8021,Business Entity Type 1,Commercial associate,Laborers,,,,,
8022,Other,State servant,UNKNOWN,,,,,
8023,XNA,Pensioner,UNKNOWN,,,,,
8024,Industry: type 11,Working,Laborers,,,,,
8025,Security Ministries,Commercial associate,High skill tech staff,,,,,
8026,XNA,Pensioner,UNKNOWN,,,,,
8027,XNA,Pensioner,UNKNOWN,,,,,
8028,Business Entity Type 3,Working,UNKNOWN,,,,,
8029,XNA,Pensioner,UNKNOWN,,,,,
8030,Medicine,Working,Medicine staff,,,,,
8031,Self-employed,Commercial associate,Sales staff,,,,,
8032,Government,State servant,Managers,,,,,
8033,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
8034,XNA,Pensioner,UNKNOWN,,,,,
8035,XNA,Pensioner,UNKNOWN,,,,,
8036,Postal,State servant,Managers,,,,,
8037,Other,Working,UNKNOWN,,,,,
8038,Business Entity Type 3,Working,Sales staff,,,,,
8039,XNA,Pensioner,UNKNOWN,,,,,
8040,Business Entity Type 3,Commercial associate,Laborers,,,,,
8041,Business Entity Type 3,Working,Sales staff,,,,,
8042,XNA,Pensioner,UNKNOWN,,,,,
8043,XNA,Pensioner,UNKNOWN,,,,,
8044,Business Entity Type 3,Working,Sales staff,,,,,
8045,XNA,Pensioner,UNKNOWN,,,,,
8046,Self-employed,Commercial associate,UNKNOWN,,,,,
8047,Industry: type 3,Working,Laborers,,,,,
8048,Business Entity Type 3,Commercial associate,Managers,,,,,
8049,Construction,Working,Laborers,,,,,
8050,Business Entity Type 3,Commercial associate,Managers,,,,,
8051,Self-employed,Working,Drivers,,,,,
8052,Business Entity Type 3,Working,Laborers,,,,,
8053,Security Ministries,Working,High skill tech staff,,,,,
8054,Other,Working,UNKNOWN,,,,,
8055,Business Entity Type 3,Commercial associate,Core staff,,,,,
8056,Business Entity Type 3,Commercial associate,Managers,,,,,
8057,Self-employed,Working,Drivers,,,,,
8058,Industry: type 7,Working,Laborers,,,,,
8059,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
